,angle_bin_centers,angle_bin_max,angle_bin_min,len pair_is,std_angle,Sd1,Sd1_err,Sd2,Sd2_err,Cd,Cd_err,W,W_err,std W
0,15.009999999999998,20.009999999999998,10.01,40.0,0.4392200437934999,1860304.525,87596.54144570648,1836433.275,107749.0841336917,4314.975,410.91212488195094,1.2617573676961616e-09,3.0609995562033523e-12,4.8823608980836004e-11
1,25.009999999999998,30.009999999999998,20.009999999999998,61.0,2.6112060987858174,1874052.3606557378,77552.98578772605,1833272.5409836066,97559.9396113468,3271.8524590163934,241.25850608061126,9.531188592585128e-10,2.145497880767494e-12,4.941686747225744e-11
2,35.00999999999999,40.00999999999999,30.009999999999998,40.0,1.9796268047294494,1907652.25,92208.72505103571,1855078.75,86875.01762122124,3183.25,294.06502257153943,8.979438896527771e-10,2.530892478229574e-12,2.4984486077582564e-11
3,45.00999999999999,50.00999999999999,40.00999999999999,65.0,2.3357029325461935,1883032.1076923078,90225.1603795276,1833912.076923077,102909.03313768204,2881.9076923076923,248.94718148956343,8.338608896137011e-10,1.9372336380926946e-12,2.043054755355719e-11
4,55.00999999999999,60.00999999999999,50.00999999999999,72.0,3.4110168755509336,1872488.861111111,96484.45189198817,1818744.486111111,102405.02643357363,2639.6111111111113,189.96940949323886,7.755966394382388e-10,1.7874792904587602e-12,2.0970254898419783e-11
5,65.00999999999999,70.00999999999999,60.00999999999999,62.0,2.3229093007777495,1874447.7580645161,103369.66724189224,1825695.7741935484,83055.58769834063,2530.3870967741937,157.00291294181915,7.401000658627204e-10,1.8750713206265814e-12,1.762805432463069e-11
6,75.00999999999999,80.00999999999999,70.00999999999999,75.0,2.4734799427506764,1843657.28,98418.11018582027,1824328.72,93276.03222158196,2398.133333333333,165.6017176507807,7.134080458122989e-10,1.6880371305397246e-12,1.5098286928097217e-11
7,85.00999999999999,90.00999999999999,80.00999999999999,81.0,3.3145552900346678,1837797.5185185184,82098.84156685785,1847435.5802469135,98122.9474365007,2402.395061728395,152.0009485847875,7.08073784064215e-10,1.6097053914863156e-12,1.5765685676974327e-11
8,95.00999999999999,100.00999999999999,90.00999999999999,50.0,2.180936986724528,1832968.5,89502.65865688013,1844437.52,95024.66559209561,2454.82,175.27529089977287,7.265308475156154e-10,2.0793383568417536e-12,2.196153268335747e-11
9,105.00999999999999,110.00999999999999,100.00999999999999,67.0,2.5954936182703565,1836227.671641791,90575.46101956701,1837756.447761194,113668.43826520296,2574.0,194.778557770521,7.63479232261541e-10,1.8446392955761938e-12,2.528372728411783e-11
10,115.00999999999999,120.00999999999999,110.00999999999999,77.0,2.984159174385827,1856892.5844155843,86005.68095859693,1883173.051948052,104628.72647640907,2903.103896103896,226.12642047484948,8.304234460883329e-10,1.7627938082116996e-12,2.9335898909109204e-11
11,125.00999999999998,130.00999999999996,120.00999999999999,46.0,1.9478516305008529,1833534.543478261,104867.06691407533,1862895.3043478262,99903.4298847315,3137.5434782608695,264.1719389470277,9.186852670011189e-10,2.4276785347874106e-12,2.8790634649731287e-11
12,135.00999999999996,140.00999999999996,130.00999999999996,41.0,2.0722364224079906,1864182.219512195,103669.40894191712,1877753.463414634,91422.89219059175,3600.8048780487807,323.0307860819034,1.0280639233379227e-09,2.688771865942395e-12,3.736082581213897e-11
13,145.00999999999996,150.00999999999996,140.00999999999996,40.0,2.6428836083777085,1894788.7,94521.11478849579,1905203.825,98112.13209101296,4061.675,355.72576428338726,1.1244228836159859e-09,2.8034185219652154e-12,4.095790540757233e-11
14,155.00999999999996,160.00999999999996,150.00999999999996,21.0,2.7533970797613065,1842701.1904761905,79702.2981335748,1853245.6666666667,76557.3832166704,4013.4761904761904,124.03441114219993,1.1771173794572664e-09,4.066596578115346e-12,2.5756973328310222e-11
15,165.00999999999996,170.00999999999996,160.00999999999996,16.0,0.5183647235984236,1861445.1875,104769.013723774,1890921.75,97523.12840327929,4467.625,392.94176970004094,1.2684097575467727e-09,4.771480408844874e-12,2.4177708566960538e-11
16,175.00999999999996,180.00999999999996,170.00999999999996,7.0,0.0,1871261.0,102425.52375402195,1916703.0,65743.69896151917,4730.714285714285,385.0052742813919,1.31764895119061e-09,7.277847835601617e-12,2.334917307644961e-11
