d1,d2,d1d2,angle
6,39,639,128.990435276
6,40,640,139.098414652
6,41,641,146.198625742
6,42,642,148.154894657
6,43,643,144.105073618
6,44,644,135.684436561
6,45,645,124.900433661
6,46,646,112.942674374
6,47,647,100.42235632
7,8,708,15.0
7,9,709,30.0
7,10,710,94.0058136339
7,11,711,80.7916324965
7,12,712,67.7280647329
7,13,713,55.0995663393
7,14,714,43.4220648092
7,15,715,33.801374258
7,17,717,28.4776800942
7,18,718,29.872934483
7,19,719,37.2343116272
7,20,720,104.88563918
7,21,721,95.9971550721
7,22,722,86.8441296185
7,23,723,77.8288677719
7,24,724,69.3753539938
7,25,725,61.988332332
7,26,726,56.2856702919
7,27,727,52.9416745279
7,28,728,52.4730278643
7,29,729,150.0
7,30,730,165.0
7,31,731,180.0
7,33,733,165.0
7,34,734,150.0
7,35,735,135.0
7,36,736,120.0
7,37,737,105.0
7,38,738,90.0
7,39,739,142.765688373
7,40,740,150.127065517
7,41,741,151.522319906
7,42,742,146.198625742
7,43,743,136.577935191
7,44,744,124.900433661
7,45,745,112.271935267
7,46,746,99.2083675035
7,47,747,85.9941863661
8,9,809,15.0
8,10,810,108.412594853
8,11,811,94.6267746455
8,12,812,80.7916324965
8,13,813,67.0573256256
8,14,814,53.6277028886
8,15,815,40.9015853478
8,17,817,29.872934483
8,18,818,23.1709023595
8,19,819,24.6479709916
8,20,820,117.941467784
8,21,821,107.255405777
8,22,822,95.9971550721
8,23,823,84.5605601275
8,24,824,73.2853008441
8,25,825,62.5600315831
8,26,826,52.9416745279
8,27,827,45.3021264898
8,28,828,40.8718065555
8,29,829,165.0
8,30,830,180.0
8,31,831,165.0
8,33,833,150.0
8,34,834,135.0
8,35,835,120.0
8,36,836,105.0
8,37,837,90.0
8,38,838,75.0
8,39,839,155.352029008
8,40,840,156.829097641
8,41,841,150.127065517
8,42,842,139.098414652
8,43,843,126.372297111
8,44,844,112.942674374
8,45,845,99.2083675035
8,46,846,85.3732253545
8,47,847,71.5874051473
9,10,910,122.706266762
9,11,911,108.412594853
9,12,912,94.0058136339
9,13,913,79.57764368
9,14,914,65.2073716972
9,15,915,51.0095647237
9,17,917,37.2343116272
9,18,918,24.6479709916
9,19,919,16.3280765791
9,20,920,130.414743394
9,21,921,117.941467784
9,22,922,104.88563918
9,23,923,91.5875915397
9,24,924,78.2660012051
9,25,925,65.1286262084
9,26,926,52.4730278643
9,27,927,40.8718065555
9,28,928,31.6046767885
9,29,929,180.0
9,30,930,165.0
9,31,931,150.0
9,33,933,135.0
9,34,934,120.0
9,35,935,105.0
9,36,936,90.0
9,37,937,75.0
9,38,938,60.0
9,39,939,163.671923421
9,40,940,155.352029008
9,41,941,142.765688373
9,42,942,128.990435276
9,43,943,114.792628303
9,44,944,100.42235632
9,45,945,85.9941863661
9,46,946,71.5874051473
9,47,947,57.2937332383
10,11,1011,15.0
10,12,1012,30.0
10,13,1013,45.0
10,14,1014,60.0
10,15,1015,75.0
10,17,1017,90.0
10,18,1018,105.0
10,19,1019,120.0
10,20,1020,16.3280765791
10,21,1021,24.6479709916
10,22,1022,37.2343116272
10,23,1023,51.0095647237
10,24,1024,65.2073716972
10,25,1025,79.57764368
10,26,1026,94.0058136339
10,27,1027,108.412594853
10,28,1028,122.706266762
10,29,1029,57.2937332383
10,30,1030,71.5874051473
10,31,1031,85.9941863661
10,33,1033,100.42235632
10,34,1034,114.792628303
10,35,1035,128.990435276
10,36,1036,142.765688373
10,37,1037,155.352029008
10,38,1038,163.671923421
10,39,1039,49.5852566056
10,40,1040,62.0585322164
10,41,1041,75.1143608196
10,42,1042,88.4124084603
10,43,1043,101.733998795
10,44,1044,114.871373792
10,45,1045,127.526972136
10,46,1046,139.128193445
10,47,1047,148.395323212
11,12,1112,15.0
11,13,1113,30.0
11,14,1114,45.0
11,15,1115,60.0
11,17,1117,75.0
11,18,1118,90.0
11,19,1119,105.0
11,20,1120,24.6479709916
11,21,1121,23.1709023595
11,22,1122,29.872934483
11,23,1123,40.9015853478
11,24,1124,53.6277028886
11,25,1125,67.0573256256
11,26,1126,80.7916324965
11,27,1127,94.6267746455
11,28,1128,108.412594853
11,29,1129,71.5874051473
11,30,1130,85.3732253545
11,31,1131,99.2083675035
11,33,1133,112.942674374
11,34,1134,126.372297111
11,35,1135,139.098414652
11,36,1136,150.127065517
11,37,1137,156.829097641
11,38,1138,155.352029008
11,39,1139,62.0585322164
11,40,1140,72.7445942227
11,41,1141,84.0028449279
11,42,1142,95.4394398725
11,43,1143,106.714699156
11,44,1144,117.439968417
11,45,1145,127.058325472
11,46,1146,134.69787351
11,47,1147,139.128193445
12,13,1213,15.0
12,14,1214,30.0
12,15,1215,45.0
12,17,1217,60.0
12,18,1218,75.0
12,19,1219,90.0
12,20,1220,37.2343116272
12,21,1221,29.872934483
12,22,1222,28.4776800942
12,23,1223,33.801374258
12,24,1224,43.4220648092
12,25,1225,55.0995663393
12,26,1226,67.7280647329
12,27,1227,80.7916324965
12,28,1228,94.0058136339
12,29,1229,85.9941863661
12,30,1230,99.2083675035
12,31,1231,112.271935267
12,33,1233,124.900433661
12,34,1234,136.577935191
12,35,1235,146.198625742
12,36,1236,151.522319906
12,37,1237,150.127065517
12,38,1238,142.765688373
12,39,1239,75.1143608196
12,40,1240,84.0028449279
12,41,1241,93.1558703815
12,42,1242,102.171132228
12,43,1243,110.624646006
12,44,1244,118.011667668
12,45,1245,123.714329708
12,46,1246,127.058325472
12,47,1247,127.526972136
13,14,1314,15.0
13,15,1315,30.0
13,17,1317,45.0
13,18,1318,60.0
13,19,1319,75.0
13,20,1320,51.0095647237
13,21,1321,40.9015853478
13,22,1322,33.801374258
13,23,1323,31.8451053433
13,24,1324,35.894926382
13,25,1325,44.3155634388
13,26,1326,55.0995663393
13,27,1327,67.0573256256
13,28,1328,79.57764368
13,29,1329,100.42235632
13,30,1330,112.942674374
13,31,1331,124.900433661
13,33,1333,135.684436561
13,34,1334,144.105073618
13,35,1335,148.154894657
13,36,1336,146.198625742
13,37,1337,139.098414652
13,38,1338,128.990435276
13,39,1339,88.4124084603
13,40,1340,95.4394398725
13,41,1341,102.171132228
13,42,1342,108.210147236
13,43,1343,113.133660277
13,44,1344,116.517923764
13,45,1345,118.011667668
13,46,1346,117.439968417
13,47,1347,114.871373792
14,15,1415,15.0
14,17,1417,30.0
14,18,1418,45.0
14,19,1419,60.0
14,20,1420,65.2073716972
14,21,1421,53.6277028886
14,22,1422,43.4220648092
14,23,1423,35.894926382
14,24,1424,33.0
14,25,1425,35.894926382
14,26,1426,43.4220648092
14,27,1427,53.6277028886
14,28,1428,65.2073716972
14,29,1429,114.792628303
14,30,1430,126.372297111
14,31,1431,136.577935191
14,33,1433,144.105073618
14,34,1434,147.0
14,35,1435,144.105073618
14,36,1436,136.577935191
14,37,1437,126.372297111
14,38,1438,114.792628303
14,39,1439,101.733998795
14,40,1440,106.714699156
14,41,1441,110.624646006
14,42,1442,113.133660277
14,43,1443,114.0
14,44,1444,113.133660277
14,45,1445,110.624646006
14,46,1446,106.714699156
14,47,1447,101.733998795
15,17,1517,15.0
15,18,1518,30.0
15,19,1519,45.0
15,20,1520,79.57764368
15,21,1521,67.0573256256
15,22,1522,55.0995663393
15,23,1523,44.3155634388
15,24,1524,35.894926382
15,25,1525,31.8451053433
15,26,1526,33.801374258
15,27,1527,40.9015853478
15,28,1528,51.0095647237
15,29,1529,128.990435276
15,30,1530,139.098414652
15,31,1531,146.198625742
15,33,1533,148.154894657
15,34,1534,144.105073618
15,35,1535,135.684436561
15,36,1536,124.900433661
15,37,1537,112.942674374
15,38,1538,100.42235632
15,39,1539,114.871373792
15,40,1540,117.439968417
15,41,1541,118.011667668
15,42,1542,116.517923764
15,43,1543,113.133660277
15,44,1544,108.210147236
15,45,1545,102.171132228
15,46,1546,95.4394398725
15,47,1547,88.4124084603
17,18,1718,15.0
17,19,1719,30.0
17,20,1720,94.0058136339
17,21,1721,80.7916324965
17,22,1722,67.7280647329
17,23,1723,55.0995663393
17,24,1724,43.4220648092
17,25,1725,33.801374258
17,26,1726,28.4776800942
17,27,1727,29.872934483
17,28,1728,37.2343116272
17,29,1729,142.765688373
17,30,1730,150.127065517
17,31,1731,151.522319906
17,33,1733,146.198625742
17,34,1734,136.577935191
17,35,1735,124.900433661
17,36,1736,112.271935267
17,37,1737,99.2083675035
17,38,1738,85.9941863661
17,39,1739,127.526972136
17,40,1740,127.058325472
17,41,1741,123.714329708
17,42,1742,118.011667668
17,43,1743,110.624646006
17,44,1744,102.171132228
17,45,1745,93.1558703815
17,46,1746,84.0028449279
17,47,1747,75.1143608196
18,19,1819,15.0
18,20,1820,108.412594853
18,21,1821,94.6267746455
18,22,1822,80.7916324965
18,23,1823,67.0573256256
18,24,1824,53.6277028886
18,25,1825,40.9015853478
18,26,1826,29.872934483
18,27,1827,23.1709023595
18,28,1828,24.6479709916
18,29,1829,155.352029008
18,30,1830,156.829097641
18,31,1831,150.127065517
18,33,1833,139.098414652
18,34,1834,126.372297111
18,35,1835,112.942674374
18,36,1836,99.2083675035
18,37,1837,85.3732253545
18,38,1838,71.5874051473
18,39,1839,139.128193445
18,40,1840,134.69787351
18,41,1841,127.058325472
18,42,1842,117.439968417
18,43,1843,106.714699156
18,44,1844,95.4394398725
18,45,1845,84.0028449279
18,46,1846,72.7445942227
18,47,1847,62.0585322164
19,20,1920,122.706266762
19,21,1921,108.412594853
19,22,1922,94.0058136339
19,23,1923,79.57764368
19,24,1924,65.2073716972
19,25,1925,51.0095647237
19,26,1926,37.2343116272
19,27,1927,24.6479709916
19,28,1928,16.3280765791
19,29,1929,163.671923421
19,30,1930,155.352029008
19,31,1931,142.765688373
19,33,1933,128.990435276
19,34,1934,114.792628303
19,35,1935,100.42235632
19,36,1936,85.9941863661
19,37,1937,71.5874051473
19,38,1938,57.2937332383
19,39,1939,148.395323212
19,40,1940,139.128193445
19,41,1941,127.526972136
19,42,1942,114.871373792
19,43,1943,101.733998795
19,44,1944,88.4124084603
19,45,1945,75.1143608196
19,46,1946,62.0585322164
19,47,1947,49.5852566056
20,21,2021,15.0
20,22,2022,30.0
20,23,2023,45.0
20,24,2024,60.0
20,25,2025,75.0
20,26,2026,90.0
20,27,2027,105.0
20,28,2028,120.0
20,29,2029,49.5852566056
20,30,2030,62.0585322164
20,31,2031,75.1143608196
20,33,2033,88.4124084603
20,34,2034,101.733998795
20,35,2035,114.871373792
20,36,2036,127.526972136
20,37,2037,139.128193445
20,38,2038,148.395323212
20,39,2039,37.8977118394
20,40,2040,48.1117137991
20,41,2041,59.9503142159
20,42,2042,72.5606601252
20,43,2043,85.5139004593
20,44,2044,98.5453294633
20,45,2045,111.424482508
20,46,2046,123.85303048
20,47,2047,135.307487112
21,22,2122,15.0
21,23,2123,30.0
21,24,2124,45.0
21,25,2125,60.0
21,26,2126,75.0
21,27,2127,90.0
21,28,2128,105.0
21,29,2129,62.0585322164
21,30,2130,72.7445942227
21,31,2131,84.0028449279
21,33,2133,95.4394398725
21,34,2134,106.714699156
21,35,2135,117.439968417
21,36,2136,127.058325472
21,37,2137,134.69787351
21,38,2138,139.128193445
21,39,2139,48.1117137991
21,40,2140,54.6747502818
21,41,2141,63.2980409126
21,42,2142,73.1504595978
21,43,2143,83.6491809573
21,44,2144,94.368219414
21,45,2145,104.937025989
21,46,2146,114.947192314
21,47,2147,123.85303048
22,23,2223,15.0
22,24,2224,30.0
22,25,2225,45.0
22,26,2226,60.0
22,27,2227,75.0
22,28,2228,90.0
22,29,2229,75.1143608196
22,30,2230,84.0028449279
22,31,2231,93.1558703815
22,33,2233,102.171132228
22,34,2234,110.624646006
22,35,2235,118.011667668
22,36,2236,123.714329708
22,37,2237,127.058325472
22,38,2238,127.526972136
22,39,2239,59.9503142159
22,40,2240,63.2980409126
22,41,2241,68.4492103098
22,42,2242,74.9139459035
22,43,2243,82.2138416799
22,44,2244,89.9168948536
