,angle_bin_centers,angle_bin_max,angle_bin_min,len pair_is,std_angle,Sd1,Sd1_err,Sd2,Sd2_err,Cd,Cd_err,W,W_err,std W
0,15.009999999999998,20.009999999999998,10.01,40.0,0.4392200437934999,2955428.625,165018.977284082,2972670.975,143275.33113336147,6205.425,562.8054676129223,7.054916170814379e-10,1.4262311651534857e-12,1.7629119196901572e-11
1,25.009999999999998,30.009999999999998,20.009999999999998,61.0,2.6112060987858174,2953072.4590163934,154381.0816174154,2959468.9672131147,153441.96919901363,4836.147540983607,474.48905517151803,5.52676867182142e-10,1.0237714431399006e-12,2.2847790110486257e-11
2,35.00999999999999,40.00999999999999,30.009999999999998,40.0,1.9796268047294494,3031906.6,140996.4060906873,2956373.525,143205.03032348194,4673.1,445.86314043661423,5.203359683343629e-10,1.2101504396160073e-12,1.626898402709244e-11
3,45.00999999999999,50.00999999999999,40.00999999999999,65.0,2.3357029325461935,2966811.2769230767,157069.34787299013,2982086.046153846,143355.1877125679,4318.123076923077,348.6705082360845,4.878764356956091e-10,9.252965910312871e-13,1.2297612105763375e-11
4,55.00999999999999,60.00999999999999,50.00999999999999,72.0,3.4110168755509336,2959667.013888889,160486.28290219602,2973462.5833333335,145293.47182644493,3989.8055555555557,316.96059336597915,4.5333067454258415e-10,8.493484584504661e-13,1.3514183878271538e-11
5,65.00999999999999,70.00999999999999,60.00999999999999,62.0,2.3229093007777495,3001321.6612903224,151894.88193696106,2916484.6612903224,141859.66040966884,3784.1612903225805,255.95974945344545,4.3268744056298435e-10,8.966116612653825e-13,1.5653038141669315e-11
6,75.00999999999999,80.00999999999999,70.00999999999999,75.0,2.4734799427506764,2914419.08,147077.67464644977,2961105.026666667,148785.41516774855,3661.306666666667,267.2911009035322,4.2439870158312986e-10,8.127743132726316e-13,1.2275339774272022e-11
7,85.00999999999999,90.00999999999999,80.00999999999999,81.0,3.3145552900346678,2907384.987654321,131819.281103353,2996066.2098765434,158716.73823246715,3636.3456790123455,255.39391798851946,4.175476129535705e-10,7.719087599422816e-13,9.281319446714356e-12
8,95.00999999999999,100.00999999999999,90.00999999999999,50.0,2.180936986724528,2930676.8,136935.44457371146,2936859.04,154691.01952459422,3628.34,211.06971454948243,4.2203162976044055e-10,9.935935921347718e-13,1.05990254279859e-11
9,105.00999999999999,110.00999999999999,100.00999999999999,67.0,2.5954936182703565,2932101.1343283583,135022.04729398666,2983702.074626866,171639.4062435002,3826.044776119403,226.55396594991763,4.381638940551511e-10,8.681788283706372e-13,1.8961861257806483e-11
10,115.00999999999999,120.00999999999999,110.00999999999999,77.0,2.984159174385827,2943864.7922077924,144950.4261061223,3026484.051948052,162701.32129244984,4044.7402597402597,248.15450793351454,4.547036892640888e-10,8.176083036802798e-13,1.8192532003325345e-11
11,125.00999999999998,130.00999999999996,120.00999999999999,46.0,1.9478516305008529,2930033.8913043477,146868.63425557167,2990320.347826087,167686.6402553879,4325.04347826087,250.51815490244974,4.944833515247119e-10,1.1122367311247313e-12,1.6251658316521323e-11
12,135.00999999999996,140.00999999999996,130.00999999999996,41.0,2.0722364224079906,2984182.951219512,143031.37037538667,3002094.1707317075,174234.126747345,4768.268292682927,288.23542413512143,5.329841661012569e-10,1.2101751847792703e-12,1.3511027483174236e-11
13,145.00999999999996,150.00999999999996,140.00999999999996,40.0,2.6428836083777085,3011796.3,132373.26022958718,3044735.025,156698.1979056376,5258.725,325.1471195858884,5.73868895699329e-10,1.2559720550567325e-12,1.3029591101259015e-11
14,155.00999999999996,160.00999999999996,150.00999999999996,21.0,2.7533970797613065,2961707.8571428573,116745.24730339978,2972281.8571428573,165092.73376998233,5323.238095238095,142.09886054363858,6.061528622697059e-10,1.8169226521921704e-12,1.749381411514022e-11
15,165.00999999999996,170.00999999999996,160.00999999999996,16.0,0.5183647235984236,2998527.625,118028.9723764228,2994530.125,186443.04294638988,5718.875,376.5253768008207,6.373277301144949e-10,2.115251896841625e-12,7.097230338407702e-12
16,175.00999999999996,180.00999999999996,170.00999999999996,7.0,0.0,3019420.4285714286,112203.30373396465,3015769.714285714,189499.98196887536,5956.142857142857,427.0320926619747,6.542796911365499e-10,3.2174561128854465e-12,1.1417343019727979e-11
