,emin,emax,emin_real,emax_real,Asym,Asym_err,Asym_min,Asym_min_err
0,1.0,4,4.0,1.0,1.5669582841305885,0.044281551270750875,1.5669582841305885,0.044281551270750875
1,1.2,4,4.0,1.175,1.590741917847843,0.04518547073161112,1.590741917847843,0.04518547073161112
2,1.4,4,4.0,1.375,1.6280290860793811,0.050823155182909134,1.6280290860793811,0.050823155182909134
3,1.5999999999999999,4,4.0,1.5750000000000002,1.6718887698869296,0.058900504838519996,1.6718887698869296,0.058900504838519996
4,1.7999999999999998,4,4.0,1.7750000000000001,1.7250556930755452,0.06449250260541987,1.7250556930755452,0.06449250260541987
5,1.9999999999999998,4,4.0,1.975,1.7746399512489204,0.0718727103473827,1.7746399512489204,0.0718727103473827
6,2.1999999999999997,4,4.0,2.1750000000000003,1.8091428741349669,0.08249704140868917,1.8091428741349669,0.08249704140868917
7,2.3999999999999995,4,4.0,2.375,1.870116762614694,0.08741966065548247,1.870116762614694,0.08741966065548247
8,2.5999999999999996,4,4.0,2.575,1.931471631559655,0.11499441445885088,1.9335491217410279,0.1086151321997637
9,2.8,4,4.0,2.7750000000000004,2.0071812912698,0.14309371818258884,2.0071812912698,0.14309371818258884
10,2.9999999999999996,4,4.0,2.975,2.0590028391683246,0.20074523645231443,2.0590028391683246,0.20074523645231443
11,3.1999999999999993,4,4.0,3.1750000000000003,2.1201296652345727,0.25877920502186064,2.1324538184977224,0.25176356397808325
12,3.3999999999999995,4,4.0,3.375,2.094623117670137,0.3724036573074302,2.1894050376657503,0.4225521256675012
13,3.5999999999999996,4,4.0,3.575,2.035815732219421,0.5582714877653945,2.315368331133867,0.6240336563663071
14,3.7999999999999994,4,4.0,3.7750000000000004,1.9364259363970666,1.1469248661376996,2.0663097088961555,1.1655776491557102
