,th_bin_center,Eave,Eave_err
0,15.009999999999998,2.4019281861547324,0.006568558918961622
1,25.009999999999998,2.3581356299218625,0.005913457453766009
2,35.00999999999999,2.3510482923399314,0.007249356579977569
3,45.00999999999999,2.3410326568519992,0.006081331675481484
4,55.00999999999999,2.3222037686240142,0.00594532341154233
5,65.00999999999999,2.311379181794606,0.00667359330431678
6,75.00999999999999,2.30503135797227,0.006117613685206775
7,85.00999999999999,2.300001964244208,0.005968506002740095
8,95.00999999999999,2.298220358210549,0.007615432641648045
9,105.00999999999999,2.3040710764003194,0.006427572571824868
10,115.00999999999999,2.311360504918195,0.005825891388281645
11,125.00999999999998,2.3236368230923232,0.0073720041720599806
12,135.00999999999996,2.3400204009910124,0.007490837193758279
13,145.00999999999996,2.3514767532650294,0.007183325895400822
14,155.00999999999996,2.35935047127651,0.009641528279297243
15,165.00999999999996,2.3714092960621143,0.011025783148062178
16,175.00999999999996,2.377188088890932,0.016336260622121557
