,emin,emax,emin_real,emax_real,Asym,Asym_err,Asym_min,Asym_min_err
0,1.0,4,4.0,1.0,1.8894000142277125,0.0903307289665155,1.91218069907132,0.10262965316548006
1,1.2,4,4.0,1.175,1.9313229954112165,0.09543932146152523,1.9497942519198836,0.10560646320936143
2,1.4,4,4.0,1.375,1.9947742342157175,0.10827094518642075,2.0154798982708346,0.12019373000383611
3,1.5999999999999999,4,4.0,1.5750000000000002,2.070091860647559,0.13678606446846306,2.093129993850588,0.1421852965619034
4,1.7999999999999998,4,4.0,1.7750000000000001,2.183409652996699,0.17253486290304942,2.218285236514246,0.1784985901273406
5,1.9999999999999998,4,4.0,1.975,2.3183880421226464,0.19927246239377294,2.3391360332608073,0.2159227901524738
6,2.1999999999999997,4,4.0,2.1750000000000003,2.4706824738001267,0.25111598996469875,2.4706824738001267,0.25111598996469875
7,2.3999999999999995,4,4.0,2.375,2.6030637784086466,0.3111950558368386,2.6142957464514582,0.31355914845870436
8,2.5999999999999996,4,4.0,2.575,2.68779372499421,0.3757076291393671,2.730461684090085,0.37198683054875487
9,2.8,4,4.0,2.7750000000000004,2.845611113574834,0.5043449108717016,2.845611113574834,0.5043449108717016
10,2.9999999999999996,4,4.0,2.975,2.9368587292005612,0.652322547407041,2.9368587292005612,0.652322547407041
11,3.1999999999999993,4,4.0,3.1750000000000003,3.014049643966826,0.9109896714526691,3.014049643966826,0.9109896714526691
12,3.3999999999999995,4,4.0,3.375,3.374643906048544,1.3141015911637965,3.374643906048544,1.3141015911637965
13,3.5999999999999996,4,4.0,3.575,3.340503775187745,2.1331866999920646,3.340503775187745,2.1331866999920646
14,3.7999999999999994,4,4.0,3.7750000000000004,3.5396268568651594,4.171519087620189,3.8095849783199354,5.006445187284877
