,th_bin_center,Eave,Eave_err
0,15.009999999999998,2.3985332048772534,0.015506391835878389
1,25.009999999999998,2.3497306270476725,0.014093072802300741
2,35.00999999999999,2.3440486987381703,0.017227097616506048
3,45.00999999999999,2.328090863952334,0.01473046090831704
4,55.00999999999999,2.311003673085776,0.014514172308199692
5,65.00999999999999,2.29407346463787,0.016455514809389584
6,75.00999999999999,2.28315627701976,0.015034494665809781
7,85.00999999999999,2.2766683300385773,0.014303647655932148
8,95.00999999999999,2.285000971802769,0.01791722209874759
9,105.00999999999999,2.2945970475612563,0.015050222451990645
10,115.00999999999999,2.3188089898669566,0.012918113731631977
11,125.00999999999998,2.3355369393755545,0.01617422792966571
12,135.00999999999996,2.3518044777144427,0.016129957788776777
13,145.00999999999996,2.367907443642738,0.015324291954282072
14,155.00999999999996,2.375402187902188,0.021935473708297987
15,165.00999999999996,2.388515342960289,0.022996902080633593
16,175.00999999999996,2.392862813973631,0.03364266756391675
