,d1,d2,d1d2,angle,Cd,Cd_err,Sd1,Sd1_err,Sd2,Sd2_err,W,W_err
0,1,2,102,15.0,1067.0,32.66496594212215,387653.0,622.6178603284683,405096.0,636.4715233221358,6.794590933276941e-09,2.085679678836743e-10
1,1,3,103,30.0,753.0,27.440845468024488,387653.0,622.6178603284683,417989.0,646.5206879907247,4.647153031554101e-09,1.6966839613813443e-10
2,1,4,104,45.0,694.0,26.343879744638983,387653.0,622.6178603284683,422688.0,650.1445993008017,4.235419216160786e-09,1.610499779975009e-10
3,1,5,105,60.0,695.0,26.362852652928137,387653.0,622.6178603284683,428281.0,654.4318146300652,4.186131311604794e-09,1.590599606961244e-10
4,1,6,106,75.0,610.0,24.698178070456937,387653.0,622.6178603284683,425148.0,652.0337414582162,3.7012340200443503e-09,1.500838306056927e-10
5,1,7,107,90.0,599.0,24.474476501040833,387653.0,622.6178603284683,413351.0,642.9237901960076,3.738218483275835e-09,1.5296797158573997e-10
6,1,8,108,105.0,548.0,23.40939982143925,387653.0,622.6178603284683,372070.0,609.9754093404094,3.799380198386302e-09,1.6253554926851482e-10
7,1,9,109,120.0,657.0,25.632011235952593,387653.0,622.6178603284683,362672.0,602.2225502254129,4.673133554620716e-09,1.8263565849163882e-10
8,1,10,110,16.3280765791,971.0,31.160872901765767,387653.0,622.6178603284683,385102.0,620.5658707985801,6.504296141598571e-09,2.0925670822884466e-10
9,1,11,111,24.647970991599998,854.0,29.223278392404914,387653.0,622.6178603284683,402380.0,634.3342967237386,5.474927028220442e-09,1.877528841665807e-10
10,1,12,112,37.2343116272,763.0,27.622454633866266,387653.0,622.6178603284683,415702.0,644.749563784265,4.734774224696274e-09,1.717360235361805e-10
11,1,13,113,51.0095647237,664.0,25.768197453450252,387653.0,622.6178603284683,417124.0,645.8513760920541,4.1063858202723905e-09,1.5962177675663077e-10
12,1,14,114,65.2073716972,628.0,25.059928172283335,387653.0,622.6178603284683,418388.0,646.829189199127,3.872017171622937e-09,1.5475123190649206e-10
13,1,15,115,79.57764368,618.0,24.859605789312106,387653.0,622.6178603284683,416175.0,645.1162685903992,3.8306223443324414e-09,1.543272808250451e-10
14,1,17,117,94.00581363389999,624.0,24.979991993593593,387653.0,622.6178603284683,409627.0,640.0210934023971,3.9296409023370234e-09,1.575577734018847e-10
15,1,18,118,108.41259485299999,588.0,24.24871130596428,387653.0,622.6178603284683,380041.0,616.4746547912574,3.991202147682183e-09,1.6484637002326214e-10
16,1,19,119,122.70626676200001,685.0,26.1725046566048,387653.0,622.6178603284683,359102.0,599.2511994147362,4.9207307060862635e-09,1.8835657078489985e-10
17,1,20,120,31.604676788499997,682.0,26.115129714401192,387653.0,622.6178603284683,372329.0,610.1876760472961,4.725136527486343e-09,1.8125940798146926e-10
18,1,21,121,40.8718065555,666.0,25.80697580112788,387653.0,622.6178603284683,393057.0,626.9425811029269,4.3709470436730175e-09,1.6965949546734708e-10
19,1,22,122,52.4730278643,619.0,24.879710609249457,387653.0,622.6178603284683,393457.0,627.2615084635753,4.058356772855474e-09,1.633774720778751e-10
20,1,23,123,65.12862620840001,575.0,23.979157616563597,387653.0,622.6178603284683,393015.0,626.9090843176544,3.7741188231602716e-09,1.5762332860895186e-10
21,1,24,124,78.2660012051,537.0,23.173260452512935,387653.0,622.6178603284683,393143.0,627.0111641749291,3.523551220650822e-09,1.5226147616301866e-10
22,1,25,125,91.5875915397,606.0,24.61706725018234,387653.0,622.6178603284683,393085.0,626.9649112988701,3.976884731430724e-09,1.6180050331423261e-10
23,1,26,126,104.88563918,547.0,23.388031127053,387653.0,622.6178603284683,381269.0,617.4698373200104,3.700945431673567e-09,1.5846599620428627e-10
24,1,27,127,117.941467784,610.0,24.698178070456937,387653.0,622.6178603284683,368760.0,607.2561238884298,4.267198831635252e-09,1.7305244249189168e-10
25,1,28,128,130.414743394,688.0,26.229754097208,387653.0,622.6178603284683,342812.0,585.5014944472815,5.177132416285067e-09,1.9774918120330272e-10
26,1,29,129,60.0,598.0,24.454038521274967,387653.0,622.6178603284683,391959.0,626.0662904197925,3.935658376655996e-09,1.611877568841698e-10
27,1,30,130,75.0,547.0,23.388031127053,387653.0,622.6178603284683,407419.0,638.2938194906794,3.4634019615892955e-09,1.482881209520883e-10
28,1,31,131,90.0,584.0,24.166091947189145,387653.0,622.6178603284683,425261.0,652.1203876585979,3.542534934799841e-09,1.468020617266404e-10
29,1,33,133,105.0,683.0,26.13426869074396,387653.0,622.6178603284683,428274.0,654.4264664574623,4.113920024954363e-09,1.5767874745428296e-10
30,1,34,134,120.0,797.0,28.231188426986208,387653.0,622.6178603284683,434943.0,659.5020849095172,4.7269697868440904e-09,1.6776307612133418e-10
31,1,35,135,135.0,911.0,30.18277654557314,387653.0,622.6178603284683,426990.0,653.4447183962849,5.503735111434352e-09,1.8275520545767147e-10
32,1,36,136,150.0,966.0,31.080540535840107,387653.0,622.6178603284683,414978.0,644.1878607983854,6.004943200838795e-09,1.9367092319786508e-10
33,1,37,137,165.0,1050.0,32.4037034920393,387653.0,622.6178603284683,379272.0,615.8506312410502,7.141597471166963e-09,2.2099721656489936e-10
34,1,38,138,180.0,978.0,31.272991542223778,387653.0,622.6178603284683,362771.0,602.304740144057,6.9544556734021996e-09,2.2295849032309625e-10
35,1,39,139,57.2937332383,570.0,23.874672772626646,387653.0,622.6178603284683,388279.0,623.1203736036882,3.786934591260724e-09,1.5885010519673822e-10
36,1,40,140,71.58740514729999,660.0,25.69046515733026,387653.0,622.6178603284683,405350.0,636.6710296534624,4.200206173420332e-09,1.637648561761593e-10
37,1,41,141,85.99418636610001,596.0,24.413111231467404,387653.0,622.6178603284683,417603.0,646.2220980436989,3.6816245774240674e-09,1.5102859559048166e-10
38,1,42,142,100.42235632,655.0,25.592967784139454,387653.0,622.6178603284683,425212.0,652.0828168262066,3.973677693178273e-09,1.5551499022890444e-10
39,1,43,143,114.79262830299999,769.0,27.730849247724095,387653.0,622.6178603284683,424535.0,651.5635041958689,4.6727192681492556e-09,1.6882200793837224e-10
40,1,44,144,128.990435276,835.0,28.89636655359978,387653.0,622.6178603284683,415008.0,644.2111455105384,5.190233035853134e-09,1.7998917057532342e-10
41,1,45,145,142.765688373,908.0,30.133038346638727,387653.0,622.6178603284683,409565.0,639.9726556658495,5.71899692443648e-09,1.9022374402148083e-10
42,1,46,146,155.352029008,1015.0,31.85906464414798,387653.0,622.6178603284683,382277.0,618.2855327435699,6.849276896635045e-09,2.1555287116436433e-10
43,1,47,147,163.671923421,889.0,29.816103031751148,387653.0,622.6178603284683,357172.0,597.6386868334412,6.420682666851889e-09,2.1585708620370923e-10
44,2,3,203,15.0,1103.0,33.21144381083123,405096.0,636.4715233221358,417989.0,646.5206879907247,6.514074253104326e-09,1.966645592210438e-10
45,2,4,204,30.0,772.0,27.784887978899608,405096.0,636.4715233221358,422688.0,650.1445993008017,4.5085763329456325e-09,1.6256973185012773e-10
46,2,5,205,45.0,756.0,27.49545416973504,405096.0,636.4715233221358,428281.0,654.4318146300652,4.357476288669313e-09,1.5876737319048826e-10
47,2,6,206,60.0,729.0,27.0,405096.0,636.4715233221358,425148.0,652.0337414582162,4.232816417918392e-09,1.570462046558834e-10
48,2,7,207,75.0,596.0,24.413111231467404,405096.0,636.4715233221358,413351.0,642.9237901960076,3.5593386639010624e-09,1.4600839967070038e-10
49,2,8,208,90.0,558.0,23.62202362203543,405096.0,636.4715233221358,372070.0,609.9754093404094,3.7021293595556807e-09,1.5694893120030496e-10
50,2,9,209,105.0,619.0,24.879710609249457,405096.0,636.4715233221358,362672.0,602.2225502254129,4.2132639446840295e-09,1.6961905471759654e-10
51,2,10,210,24.647970991599998,887.0,29.782545223670862,405096.0,636.4715233221358,385102.0,620.5658707985801,5.685777896353473e-09,1.9133812530975947e-10
52,2,11,211,23.170902359499998,922.0,30.364452901377952,405096.0,636.4715233221358,402380.0,634.3342967237386,5.656353975595704e-09,1.8670702248454167e-10
53,2,12,212,29.872934483,854.0,29.223278392404914,405096.0,636.4715233221358,415702.0,644.749563784265,5.071282475215174e-09,1.7389650980559943e-10
54,2,13,213,40.9015853478,767.0,27.694764848252458,405096.0,636.4715233221358,417124.0,645.8513760920541,4.5391259186655635e-09,1.6420390017574599e-10
55,2,14,214,53.6277028886,644.0,25.37715508089904,405096.0,636.4715233221358,418388.0,646.829189199127,3.799694608735892e-09,1.4996301014029452e-10
56,2,15,215,67.0573256256,606.0,24.61706725018234,405096.0,636.4715233221358,416175.0,645.1162685903992,3.5945015983841085e-09,1.4623201228710081e-10
57,2,17,217,80.7916324965,625.0,25.0,405096.0,636.4715233221358,409627.0,640.0210934023971,3.766461110555821e-09,1.5088942430628186e-10
58,2,18,218,94.62677464549999,600.0,24.49489742783178,405096.0,636.4715233221358,380041.0,616.4746547912574,3.8972910783844465e-09,1.5934948127446584e-10
59,2,19,219,108.41259485299999,594.0,24.372115213907882,405096.0,636.4715233221358,359102.0,599.2511994147362,4.0832941468805526e-09,1.6780078366639738e-10
