,emin,emax,emin_real,emax_real,Asym,Asym_err,Asym_min,Asym_min_err
0,1.0,4,4.0,1.0,1.2985441179642305,0.04878588744662901,1.3732029459029094,0.04701646992844536
1,1.2,4,4.0,1.175,1.3118009924281178,0.05068763986927766,1.3879243732366915,0.04776908954462048
2,1.4,4,4.0,1.375,1.3405143278341023,0.05598995458253321,1.4221377639883255,0.054524352831510664
3,1.5999999999999999,4,4.0,1.5750000000000002,1.3773629149172346,0.0593346235202083,1.4601672422261032,0.06149399668966664
4,1.7999999999999998,4,4.0,1.7750000000000001,1.4032794049598971,0.0667028174846588,1.4920265815387515,0.07124476302740733
5,1.9999999999999998,4,4.0,1.975,1.4353779763630055,0.08015764206023389,1.5322637456491068,0.08115514478685157
6,2.1999999999999997,4,4.0,2.1750000000000003,1.4920515719447487,0.08374339566691243,1.5864265593536766,0.0849779500652498
7,2.3999999999999995,4,4.0,2.375,1.5285610979702051,0.10586658522704187,1.6224934679250742,0.10836239754413073
8,2.5999999999999996,4,4.0,2.575,1.5435966140368056,0.11511509439831474,1.6477678265799682,0.13766737972964305
9,2.8,4,4.0,2.7750000000000004,1.547369631271574,0.13752706961566222,1.6609360537737055,0.16866207988464238
10,2.9999999999999996,4,4.0,2.975,1.5867216718217598,0.15580856980371638,1.6983852753481086,0.1787369881053059
11,3.1999999999999993,4,4.0,3.1750000000000003,1.6467305253868996,0.23030978048580628,1.8163614644977886,0.27712615300605875
12,3.3999999999999995,4,4.0,3.375,1.7207345040464332,0.35972088525832135,1.808602194762363,0.37454771311310636
13,3.5999999999999996,4,4.0,3.575,1.875276017696227,0.5751912080308283,1.9722228312217027,0.6228347609646279
14,3.7999999999999994,4,4.0,3.7750000000000004,1.914871438999416,1.2343940513463874,2.0275820272677687,1.5355204093547754
